Tahun,Brand,Total Penjualan
2018,AUDI,50
2018,BMW,2360
2018,CHEVROLET,2509
2018,DAIHATSU,202738
2018,DATSUN,10433
2018,DFSK,1222
2018,FAW,351
2018,HINO,39737
2018,HONDA,162163
2018,HYUNDAI,1415
2018,HYUNDAI KOMERSIAL,2
2018,INFINITI,-
2018,ISUZU,26098
2018,LEXUS,1310
2018,MAN TRUCK,79
2018,MAZDA,5657
2018,MINI,520
2018,MITSUBISHI FUSO,51470
2018,MITSUBISHI MOTORS,142861
2018,NISSAN,6885
2018,PEUGEOT,139
2018,PROTON,49
2018,RENAULT (PC),297
2018,SCANIA,794
2018,SUZUKI,118014
2018,TATA,1111
2018,TOYOTA,352161
2018,UD TRUCKS,3370
2018,VOLKSWAGEN,511
2018,WULING,17002
2019,AUDI,36
2019,BMW,2500
2019,CHEVROLET,1529
2019,DAIHATSU,177284
2019,DATSUN,6487
2019,DFSK,3857
2019,FAW,291
2019,HINO,31068
2019,HONDA,137339
2019,HYUNDAI,1365
2019,HYUNDAI KOMERSIAL,-
2019,INFINITI,-
2019,ISUZU,25270
2019,LEXUS,1425
2019,MAN TRUCK,32
2019,MAZDA,4884
2019,MERCEDES-BENZ CV,2695
2019,MERCEDES-BENZ PC,517
2019,MINI,700
2019,MITSUBISHI FUSO,42754
2019,MITSUBISHI MOTORS,119011
2019,NISSAN,12302
2019,PEUGEOT,129
2019,PROTON,-
2019,RENAULT AUTO EURO,29
2019,RENAULT MAXINDO,250
2019,SCANIA,418
2019,SUZUKI,100383
2019,TATA,810
2019,TOYOTA,331797
2019,UD TRUCKS,2271
2019,VOLKSWAGEN,350
2019,WULING,22343
2020,AUDI,47
2020,BMW,1983
2020,BYD,-
2020,CHEVROLET,54
2020,DAIHATSU,90724
2020,DATSUN,300
2020,DFSK,1947
2020,FAW,220
2020,HINO,12621
2020,HONDA,73315
2020,HONGYAN,-
2020,HYUNDAI - HIM,525
2020,HYUNDAI - HMID,215
2020,INFINITI,-
2020,ISUZU,16422
2020,K I A,807
2020,LEXUS,947
2020,MAN TRUCK,10
2020,MAZDA,2660
2020,MERCEDES-BENZ CV,673
2020,MERCEDES-BENZ PC,2064
2020,MINI,411
2020,MITSUBISHI FUSO,21359
2020,MITSUBISHI MOTORS,57906
2020,MORRIS GARAGE,377
2020,NISSAN,10849
2020,PEUGEOT,212
2020,PROTON,-
2020,RENAULT,350
2020,RENAULT AUTO EURO,-
2020,SCANIA,217
2020,SUZUKI,66130
2020,TATA,235
2020,TOYOTA,161256
2020,UD TRUCKS,515
2020,VOLKSWAGEN,475
2020,WULING,6581
2021,AUDI,38
2021,BMW,2389
2021,CHEVROLET,-
2021,DAIHATSU,164908
2021,DATSUN,-
2021,DFSK,3242
2021,FAW,174
2021,HINO,20683
2021,HONDA,91122
2021,HONGYAN,-
2021,HYUNDAI - HIM,159
2021,HYUNDAI - HMID,3005
2021,INFINITI,-
2021,ISUZU,26636
2021,K I A,2895
2021,LEXUS,972
2021,MAN TRUCK,-
2021,MAZDA,3392
2021,MERCEDES-BENZ CV,1810
2021,MERCEDES-BENZ PC,2096
2021,MINI,657
2021,MITSUBISHI FUSO,36518
